Ind	Bloco 	Prog	Arv	DAP
1	1	1	1	13.625
2	1	6	1	32.625
3	1	11	1	13.655
4	1	15	1	15.625
5	1	20	1	15.630
6	1	24	1	15.630
7	1	29	1	18.650
8	1	32	1	13.450
9	1	41	1	21.000
10	1	49	1	25.652
11	1	53	1	21.000
12	2	1	1	13.065
13	2	6	1	31.653
14	2	11	1	11.650
15	2	15	1	13.650
16	2	20	1	18.000
17	2	24	1	13.650
18	2	29	1	19.000
19	2	32	1	11.230
20	2	41	1	24.000
21	2	49	1	23.000
22	2	53	1	23.640
23	3	1	1	13.206
24	3	6	1	32.360
25	3	11	1	11.000
26	3	15	1	13.500
27	3	20	1	21.000
28	3	24	1	13.000
29	3	29	1	12.060
30	3	32	1	28.500
31	3	41	1	20.500
32	3	49	1	21.500
33	3	53	1	20.156
34	4	1	1	15.630
35	4	6	1	31.230
36	4	11	1	11.230
37	4	15	1	12.360
38	4	20	1	17.960
39	4	24	1	21.365
40	4	29	1	13.630
41	4	32	1	19.180
42	4	41	1	28.625
43	4	49	1	24.625
44	4	53	1	23.625
45	5	1	1	17.000
46	5	6	1	31.365
47	5	11	1	12.056
48	5	15	1	26.625
49	5	20	1	20.659
50	5	24	1	28.000
51	5	29	1	24.900
52	5	32	1	7.000
53	5	41	1	26.500
54	5	49	1	40.500
55	5	53	1	40.500
56	6	1	1	13.206
57	6	6	1	32.350
58	6	11	1	13.065
59	6	15	1	13.265
60	6	20	1	49.146
61	6	24	1	23.000
62	6	29	1	13.000
63	6	32	1	28.994
64	6	41	1	18.000
65	6	49	1	28.000
66	6	53	1	29.625
67	1	4	1	12.365
68	1	22	1	18.500
69	1	51	1	23.970
70	2	4	1	21.625
71	2	22	1	31.457
72	2	51	1	24.000
73	3	4	1	13.254
74	3	22	1	23.000
75	3	51	1	23.000
76	4	4	1	12.365
77	4	22	1	16.000
78	4	51	1	23.640
79	5	4	1	16.327
80	5	22	1	46.167
81	5	51	1	24.000
82	6	4	1	11.024
83	6	22	1	27.890
84	6	51	1	28.000
85	1	2	1	10.345
86	1	8	1	12.365
87	2	2	1	14.652
88	2	8	1	14.699
89	3	2	1	17.625
90	3	8	1	10.356
91	4	2	1	11.635
92	4	8	1	13.500
93	5	2	1	12.600
94	5	8	1	13.500
95	6	2	1	11.625
96	6	8	1	10.659
97	1	17	1	14.625
98	1	26	1	28.642
99	1	36	1	21.654
100	2	17	1	16.352
101	2	26	1	20.500
102	2	36	1	23.625
103	3	17	1	13.025
104	3	26	1	18.000
105	3	36	1	21.000
106	4	17	1	10.354
107	4	26	1	12.000
108	4	36	1	33.625
109	5	17	1	10.605
110	5	26	1	0.000
111	5	36	1	35.000
112	6	17	1	13.065
113	6	26	1	16.000
114	6	36	1	28.500
115	1	9	1	32.365
116	1	13	1	13.065
117	2	9	1	14.625
118	2	13	1	13.654
119	3	9	1	23.065
120	3	13	1	21.655
121	4	9	1	26.654
122	4	13	1	23.026
123	5	9	1	23.027
124	5	13	1	20.325
125	6	9	1	22.065
126	6	13	1	22.654
127	1	14	1	14.025
128	2	14	1	12.456
129	3	14	1	12.655
130	4	14	1	13.652
131	5	14	1	13.489
132	6	14	1	12.365
133	1	55	1	20.500
134	2	55	1	21.500
135	3	55	1	20.156
136	4	55	1	28.500
137	5	55	1	29.460
138	6	55	1	31.654
139	1	38	1	29.625
140	1	45	1	27.984
141	2	38	1	21.365
142	2	45	1	32.650
143	3	38	1	23.650
144	3	45	1	22.635
145	4	38	1	21.116
146	4	45	1	20.000
147	5	38	1	27.954
148	5	45	1	22.897
149	6	38	1	20.000
150	6	45	1	29.625
151	1	27	1	26.000
152	1	35	1	10.000
153	2	27	1	15.000
154	2	35	1	20.659
155	3	27	1	16.000
156	3	35	1	28.000
157	4	27	1	17.000
158	4	35	1	24.900
159	5	27	1	13.000
