Ind	Bloco 	Prog	Parcela	Arv	DAP
1	1	1	11	1	30.5
2	1	1	11	2	31.5
3	1	1	11	3	12
4	1	1	11	4	15.5
5	1	1	11	5	16
6	1	6	16	1	14
7	1	6	16	2	11.5
8	1	6	16	3	24
9	1	6	16	4	NA
10	1	6	16	5	NA
11	1	11	111	1	NA
12	1	11	111	2	21.5
13	1	11	111	3	20.5
14	1	11	111	4	10
15	1	11	111	5	17.5
16	1	15	115	1	4.5
17	1	15	115	2	11
18	1	15	115	3	17
19	1	15	115	4	7.5
20	1	15	115	5	11
21	1	20	120	1	20
22	1	20	120	2	12.5
23	1	20	120	3	21
24	1	20	120	4	13
25	1	20	120	5	13
26	1	24	124	1	12
27	1	24	124	2	24
28	1	24	124	3	NA
29	1	24	124	4	20
30	1	24	124	5	NA
31	1	29	129	1	16
32	1	29	129	2	20.5
33	1	29	129	3	8
34	1	29	129	4	11
35	1	29	129	5	23.5
36	1	32	132	1	6
37	1	32	132	2	9
38	1	32	132	3	23
39	1	32	132	4	9
40	1	32	132	5	NA
41	1	41	141	1	19
42	1	41	141	2	13.5
43	1	41	141	3	12.5
44	1	41	141	4	9
45	1	41	141	5	14
46	1	49	149	1	27.5
47	1	49	149	2	7
48	1	49	149	3	16
49	1	49	149	4	17
50	1	49	149	5	18
51	1	53	153	1	10.5
52	1	53	153	2	15
53	1	53	153	3	24
54	1	53	153	4	10
55	1	53	153	5	NA
56	2	1	21	1	25.5
57	2	1	21	2	25.5
58	2	1	21	3	12.5
59	2	1	21	4	22
60	2	1	21	5	17
61	2	6	26	1	32
62	2	6	26	2	8
63	2	6	26	3	23
64	2	6	26	4	24
65	2	6	26	5	NA
66	2	11	211	1	25.5
67	2	11	211	2	NA
68	2	11	211	3	NA
69	2	11	211	4	NA
70	2	11	211	5	NA
71	2	15	215	1	10.5
72	2	15	215	2	14.5
73	2	15	215	3	26
74	2	15	215	4	NA
75	2	15	215	5	10
76	2	20	220	1	19
77	2	20	220	2	NA
78	2	20	220	3	NA
79	2	20	220	4	19.5
80	2	20	220	5	25
81	2	24	224	1	NA
82	2	24	224	2	15
83	2	24	224	3	NA
84	2	24	224	4	18.5
85	2	24	224	5	8.5
86	2	29	229	1	10
87	2	29	229	2	NA
88	2	29	229	3	NA
89	2	29	229	4	12
90	2	29	229	5	NA
91	2	32	232	1	13
92	2	32	232	2	10
93	2	32	232	3	NA
94	2	32	232	4	20.5
95	2	32	232	5	17
96	2	41	241	1	10.5
97	2	41	241	2	29.5
98	2	41	241	3	14
99	2	41	241	4	21
100	2	41	241	5	7
101	2	49	249	1	35
102	2	49	249	2	20
103	2	49	249	3	8
104	2	49	249	4	23
105	2	49	249	5	9.5
106	2	53	253	1	8
107	2	53	253	2	13
108	2	53	253	3	14
109	2	53	253	4	6
110	2	53	253	5	32
111	3	1	31	1	NA
112	3	1	31	2	NA
113	3	1	31	3	14
114	3	1	31	4	9.5
115	3	1	31	5	27
116	3	6	36	1	NA
117	3	6	36	2	23.5
118	3	6	36	3	9.5
119	3	6	36	4	24
120	3	6	36	5	13.5
121	3	11	311	1	23
122	3	11	311	2	19.5
123	3	11	311	3	20
124	3	11	311	4	12
125	3	11	311	5	31
126	3	15	315	1	15.5
127	3	15	315	2	5
128	3	15	315	3	9
129	3	15	315	4	5
130	3	15	315	5	13
131	3	20	320	1	20.5
132	3	20	320	2	19
133	3	20	320	3	12.5
134	3	20	320	4	23
135	3	20	320	5	NA
136	3	24	324	1	13
137	3	24	324	2	20.5
138	3	24	324	3	8.5
139	3	24	324	4	NA
140	3	24	324	5	16
141	3	29	329	1	11
142	3	29	329	2	NA
143	3	29	329	3	NA
144	3	29	329	4	8
145	3	29	329	5	10
146	3	32	332	1	15
147	3	32	332	2	NA
148	3	32	332	3	18
149	3	32	332	4	13
150	3	32	332	5	24
151	3	41	341	1	18
152	3	41	341	2	NA
153	3	41	341	3	20.5
154	3	41	341	4	18
155	3	41	341	5	9
156	3	49	349	1	NA
157	3	49	349	2	11
158	3	49	349	3	28
159	3	49	349	4	NA
160	3	49	349	5	23
161	3	53	353	1	NA
162	3	53	353	2	4.5
163	3	53	353	3	7
164	3	53	353	4	13
165	3	53	353	5	8
166	4	1	41	1	11
167	4	1	41	2	8.5
168	4	1	41	3	NA
169	4	1	41	4	20.5
170	4	1	41	5	8
171	4	6	46	1	11.5
172	4	6	46	2	11.5
173	4	6	46	3	6.5
174	4	6	46	4	16
175	4	6	46	5	10
176	4	11	411	1	21
177	4	11	411	2	28
178	4	11	411	3	21
179	4	11	411	4	15
180	4	11	411	5	22.5
181	4	15	415	1	18
182	4	15	415	2	10.5
183	4	15	415	3	23
184	4	15	415	4	22
185	4	15	415	5	14
186	4	20	420	1	29
187	4	20	420	2	25.5
188	4	20	420	3	26
189	4	20	420	4	7
190	4	20	420	5	20
191	4	24	424	1	16
192	4	24	424	2	8
193	4	24	424	3	34
194	4	24	424	4	19
195	4	24	424	5	21
196	4	29	429	1	17
197	4	29	429	2	17.5
198	4	29	429	3	15
199	4	29	429	4	13
200	4	29	429	5	10
201	4	32	432	1	13
202	4	32	432	2	19.5
203	4	32	432	3	15
204	4	32	432	4	17
205	4	32	432	5	16
206	4	41	441	1	15
207	4	41	441	2	22
208	4	41	441	3	18
209	4	41	441	4	29
210	4	41	441	5	15
211	4	49	449	1	9
212	4	49	449	2	17.5
213	4	49	449	3	5
214	4	49	449	4	NA
215	4	49	449	5	10
216	4	53	453	1	12.5
217	4	53	453	2	21.5
218	4	53	453	3	20.5
219	4	53	453	4	19
220	4	53	453	5	NA
221	5	1	51	1	NA
222	5	1	51	2	8
223	5	1	51	3	17
224	5	1	51	4	18.5
225	5	1	51	5	14
226	5	6	56	1	14
227	5	6	56	2	19
228	5	6	56	3	25
229	5	6	56	4	9
230	5	6	56	5	15
231	5	11	511	1	23
232	5	11	511	2	20
233	5	11	511	3	10
234	5	11	511	4	26
235	5	11	511	5	NA
236	5	15	515	1	21
237	5	15	515	2	14
238	5	15	515	3	10.5
239	5	15	515	4	NA
240	5	15	515	5	17
241	5	20	520	1	24
242	5	20	520	2	NA
243	5	20	520	3	22.5
244	5	20	520	4	19
245	5	20	520	5	16
246	5	24	524	1	NA
247	5	24	524	2	NA
248	5	24	524	3	NA
249	5	24	524	4	19
250	5	24	524	5	16
251	5	29	529	1	8.5
252	5	29	529	2	16.5
253	5	29	529	3	NA
254	5	29	529	4	12.5
255	5	29	529	5	20.5
256	5	32	532	1	7
257	5	32	532	2	11.5
258	5	32	532	3	20.5
259	5	32	532	4	7.5
260	5	32	532	5	17
261	5	41	541	1	26.5
262	5	41	541	2	20
263	5	41	541	3	10.5
264	5	41	541	4	5
265	5	41	541	5	4
266	5	49	549	1	NA
267	5	49	549	2	NA
268	5	49	549	3	11
269	5	49	549	4	18
270	5	49	549	5	15
271	5	53	553	1	NA
272	5	53	553	2	14.5
273	5	53	553	3	22.5
274	5	53	553	4	16
275	5	53	553	5	8
276	6	1	61	1	14
277	6	1	61	2	32.5
278	6	1	61	3	30
279	6	1	61	4	31.5
280	6	1	61	5	9.5
281	6	6	66	1	11
282	6	6	66	2	15.5
283	6	6	66	3	15
284	6	6	66	4	20.5
285	6	6	66	5	12
286	6	11	611	1	30
287	6	11	611	2	12
288	6	11	611	3	25
289	6	11	611	4	7
290	6	11	611	5	32
291	6	15	615	1	13
292	6	15	615	2	19
293	6	15	615	3	11
294	6	15	615	4	16
295	6	15	615	5	22.5
296	6	20	620	1	13
297	6	20	620	2	22
298	6	20	620	3	11.5
299	6	20	620	4	11
300	6	20	620	5	18
301	6	24	624	1	23
302	6	24	624	2	12.5
303	6	24	624	3	19
304	6	24	624	4	26
